best_program,fitness,raw_fitness,program_length,seed
"mul(mul(sub(mul(mul(mul(sub(mul(sub(mul(mul(X0, mul(0.216, X1)), X1), X1), mul(-0.197, X0)), X1), mul(-0.197, X0)), add(0.358, 0.879)), X1), X1), mul(-0.197, X0)), add(0.358, 0.879))",0.0039030525616424046,0.0004030525616424044,35,36
"mul(0.253, div(X0, add(div(div(X0, X0), X1), mul(0.336, X0))))",0.0018901377412129097,0.0005901377412129096,13,51
"mul(sub(add(mul(-0.309, 0.131), 0.947), mul(sub(add(mul(-0.294, 0.136), 0.947), mul(0.212, mul(X0, X1))), mul(mul(add(X0, X0), 0.136), X1))), mul(mul(add(X0, X0), 0.136), X1))",0.0035832786262705047,0.00028327862627050484,33,96
"div(mul(X1, X0), add(sub(mul(X0, X1), div(-0.190, 0.058)), 0.800))",0.001759476674874442,0.00045947667487444176,13,7
"mul(mul(div(X1, add(0.957, mul(mul(div(X1, add(0.957, mul(mul(mul(div(X1, add(0.957, mul(mul(X0, X1), 0.272))), X0), 0.237), 0.272))), X0), 0.272))), X0), 0.237)",0.0033434785901053725,0.00024347859010537232,31,58
"div(mul(X1, X0), add(div(0.515, 0.126), mul(X0, X1)))",0.0016217926625236357,0.0005217926625236357,11,10
"div(X1, add(X1, div(div(X1, X0), mul(X1, 0.245))))",0.0017665310759147753,0.0006665310759147752,11,92
"div(mul(mul(0.247, X0), X1), add(mul(mul(X1, 0.278), X0), div(X1, X1)))",0.001773515677473446,0.00027351567747344616,15,9
"mul(mul(0.246, mul(X0, X1)), sub(div(X1, X1), mul(X1, mul(0.232, X0))))",0.001897792039764162,0.00039779203976416196,15,52
"div(mul(mul(0.221, X0), 0.623), add(div(0.559, X1), mul(X0, 0.147)))",0.0016303037686436915,0.00033030376864369134,13,55
"div(mul(0.220, mul(X0, X1)), sub(mul(X1, mul(X0, 0.243)), -0.894))",0.0016140210573688364,0.0003140210573688363,13,27
"mul(mul(0.247, X1), sub(X0, mul(X0, mul(mul(0.247, X1), sub(X0, mul(X0, mul(0.237, mul(X0, mul(0.237, mul(X1, X0))))))))))",0.0028687758046909047,0.00036877580469090474,25,72
"div(mul(mul(0.235, X0), X1), add(0.963, mul(mul(X0, X1), 0.248)))",0.001692756046948768,0.00039275604694876765,13,78
"div(mul(X1, mul(X0, 0.243)), add(div(X1, X1), mul(mul(0.240, X1), X0)))",0.0020027019362981197,0.0005027019362981198,15,16
"div(mul(0.201, mul(X1, X0)), add(mul(mul(X0, 0.243), X1), 0.806))",0.0016268177571921848,0.00032681775719218463,13,15
"div(mul(mul(X0, X1), 0.247), add(mul(mul(X1, 0.279), X0), div(X1, X1)))",0.001767444997089457,0.00026744499708945704,15,4
"div(mul(mul(X1, X0), 0.215), add(mul(mul(X1, X0), 0.215), 0.884))",0.0017708968244492303,0.0004708968244492303,13,25
"mul(mul(0.925, X1), mul(0.207, div(X0, add(0.777, mul(mul(0.213, X0), X1)))))",0.0017867097084486123,0.0002867097084486123,15,41
"div(mul(X1, X0), sub(add(div(mul(X0, X1), sub(add(X0, X1), X0)), X1), div(0.763, -0.240)))",0.0028805090793667387,0.0009805090793667387,19,53
"mul(div(X1, add(div(0.512, 0.128), mul(add(X0, 0.154), X1))), X0)",0.001694138003792688,0.0003941380037926879,13,85
"div(mul(mul(0.535, X0), mul(X1, -0.439)), sub(sub(-0.635, 0.336), mul(X0, mul(0.227, X1))))",0.0022789493689301804,0.0005789493689301802,17,54
"div(mul(X1, 0.239), add(div(0.983, X0), mul(X1, 0.239)))",0.0017795440236315014,0.0006795440236315012,11,35
"div(mul(0.223, X0), div(add(0.915, mul(X1, mul(0.225, X0))), X1))",0.001744290439221562,0.0004442904392215618,13,39
"div(mul(mul(0.185, X1), X0), add(0.740, div(mul(mul(0.185, X1), X0), add(0.740, mul(mul(mul(0.185, X1), X0), X0)))))",0.0024908911173923227,0.00019089111739232278,23,71
"div(mul(X1, mul(X0, 0.240)), add(mul(X1, mul(0.218, X0)), 0.998))",0.001977935299362945,0.0006779352993629449,13,98
"mul(sub(mul(mul(mul(0.198, X0), X1), X1), X1), mul(-0.241, X0))",0.0018559572788097076,0.0005559572788097075,13,33
